#Perc	time	N	Ekin	Epot	Eges
0%	0	5	0	12.5	12.5
0%	0.01	5	0.000499871	12.4995	12.5
0%	0.02	5	0.00199763	12.498	12.5
0%	0.03	5	0.00448726	12.4955	12.5
0%	0.04	5	0.0079585	12.492	12.5
0%	0.05	5	0.012397	12.4876	12.5
0%	0.06	5	0.0177843	12.4822	12.5
0%	0.07	5	0.0240982	12.4759	12.5
0%	0.08	5	0.0313128	12.4687	12.5
0%	0.09	5	0.039399	12.4606	12.5
0%	0.1	5	0.0483244	12.4517	12.5001
0%	0.11	5	0.0580536	12.442	12.5001
0%	0.12	5	0.068549	12.4316	12.5001
0%	0.13	5	0.0797705	12.4204	12.5001
0%	0.14	5	0.0916762	12.4085	12.5002
0%	0.15	5	0.104223	12.396	12.5002
0%	0.16	5	0.117365	12.3829	12.5002
0%	0.17	5	0.131058	12.3692	12.5003
0%	0.18	5	0.145256	12.3551	12.5003
0%	0.19	5	0.159911	12.3404	12.5004
0%	0.2	5	0.174978	12.3254	12.5004
0%	0.21	5	0.19041	12.3101	12.5005
0%	0.22	5	0.206162	12.2944	12.5005
0%	0.23	5	0.22219	12.2784	12.5006
0%	0.24	5	0.238451	12.2622	12.5006
0%	0.25	5	0.254901	12.2458	12.5007
0%	0.26	5	0.271501	12.2293	12.5008
0%	0.27	5	0.288211	12.2126	12.5008
0%	0.28	5	0.304994	12.1959	12.5009
0%	0.29	5	0.321815	12.1791	12.501
0%	0.3	5	0.33864	12.1624	12.501
0%	0.31	5	0.355437	12.1457	12.5011
0%	0.32	5	0.372178	12.129	12.5012
0%	0.33	5	0.388835	12.1124	12.5012
0%	0.34	5	0.405382	12.0959	12.5013
0%	0.35	5	0.421796	12.0796	12.5014
0%	0.36	5	0.438057	12.0634	12.5014
0%	0.37	5	0.454145	12.0473	12.5015
0%	0.38	5	0.470041	12.0315	12.5015
0%	0.39	5	0.485732	12.0159	12.5016
0%	0.4	5	0.501203	12.0005	12.5017
0%	0.41	5	0.516442	11.9853	12.5017
0%	0.42	5	0.531439	11.9703	12.5018
0%	0.43	5	0.546184	11.9556	12.5018
0%	0.44	5	0.56067	11.9412	12.5019
0%	0.45	5	0.574891	11.927	12.5019
0%	0.46	5	0.588842	11.9131	12.502
0%	0.47	5	0.602519	11.8995	12.502
0%	0.48	5	0.615919	11.8861	12.5021
0%	0.49	5	0.629039	11.8731	12.5021
0.1%	0.5	5	0.64188	11.8603	12.5021
0.1%	0.51	5	0.65444	11.8477	12.5022
0.1%	0.52	5	0.66672	11.8355	12.5022
0.1%	0.53	5	0.678721	11.8235	12.5022
0.1%	0.54	5	0.690445	11.8118	12.5023
0.1%	0.55	5	0.701893	11.8004	12.5023
0.1%	0.56	5	0.713067	11.7892	12.5023
0.1%	0.57	5	0.723972	11.7784	12.5023
0.1%	0.58	5	0.734609	11.7677	12.5024
0.1%	0.59	5	0.744981	11.7574	12.5024
0.1%	0.6	5	0.755093	11.7473	12.5024
0.1%	0.61	5	0.764949	11.7375	12.5024
0.1%	0.62	5	0.774551	11.7279	12.5024
0.1%	0.63	5	0.783903	11.7185	12.5024
0.1%	0.64	5	0.793011	11.7094	12.5025
0.1%	0.65	5	0.801877	11.7006	12.5025
0.1%	0.66	5	0.810507	11.692	12.5025
0.1%	0.67	5	0.818903	11.6836	12.5025
0.1%	0.68	5	0.82707	11.6754	12.5025
0.1%	0.69	5	0.835012	11.6675	12.5025
0.1%	0.7	5	0.842734	11.6598	12.5025
0.1%	0.71	5	0.850239	11.6523	12.5025
0.1%	0.72	5	0.85753	11.645	12.5025
0.1%	0.73	5	0.864613	11.6379	12.5025
0.1%	0.74	5	0.871491	11.631	12.5025
0.1%	0.75	5	0.878168	11.6244	12.5025
0.1%	0.76	5	0.884647	11.6179	12.5025
0.1%	0.77	5	0.890932	11.6116	12.5026
0.1%	0.78	5	0.897027	11.6055	12.5026
0.1%	0.79	5	0.902936	11.5996	12.5026
0.1%	0.8	5	0.908662	11.5939	12.5026
0.1%	0.81	5	0.914208	11.5884	12.5026
0.1%	0.82	5	0.919578	11.583	12.5026
0.1%	0.83	5	0.924775	11.5778	12.5026
0.1%	0.84	5	0.929803	11.5728	12.5026
0.1%	0.85	5	0.934665	11.5679	12.5026
0.1%	0.86	5	0.939363	11.5632	12.5026
0.1%	0.87	5	0.943902	11.5587	12.5026
0.1%	0.88	5	0.948284	11.5543	12.5026
0.1%	0.89	5	0.952511	11.5501	12.5026
0.1%	0.9	5	0.956588	11.546	12.5026
0.1%	0.91	5	0.960517	11.5421	12.5026
0.1%	0.92	5	0.9643	11.5383	12.5026
0.1%	0.93	5	0.96794	11.5347	12.5026
0.1%	0.94	5	0.971441	11.5312	12.5026
0.1%	0.95	5	0.974804	11.5278	12.5026
0.1%	0.96	5	0.978032	11.5246	12.5026
0.1%	0.97	5	0.981128	11.5215	12.5026
0.1%	0.98	5	0.984093	11.5185	12.5026
0.1%	0.99	5	0.986931	11.5157	12.5026
0.1%	1	5	0.989643	11.513	12.5026
0.1%	1.01	5	0.992232	11.5104	12.5026
0.1%	1.02	5	0.9947	11.5079	12.5026
0.1%	1.03	5	0.997048	11.5056	12.5026
0.1%	1.04	5	0.999278	11.5034	12.5027
0.1%	1.05	5	1.00139	11.5013	12.5027
0.1%	1.06	5	1.00339	11.4993	12.5027
0.1%	1.07	5	1.00528	11.4974	12.5027
0.1%	1.08	5	1.00706	11.4956	12.5027
0.1%	1.09	5	1.00873	11.4939	12.5027
0.1%	1.1	5	1.01029	11.4924	12.5027
0.1%	1.11	5	1.01175	11.4909	12.5027
0.1%	1.12	5	1.0131	11.4896	12.5027
0.1%	1.13	5	1.01435	11.4883	12.5027
0.1%	1.14	5	1.01549	11.4872	12.5027
0.1%	1.15	5	1.01654	11.4862	12.5027
0.1%	1.16	5	1.01748	11.4852	12.5027
0.1%	1.17	5	1.01832	11.4844	12.5027
0.1%	1.18	5	1.01907	11.4836	12.5027
0.1%	1.19	5	1.01971	11.483	12.5027
0.1%	1.2	5	1.02026	11.4825	12.5027
0.1%	1.21	5	1.02072	11.482	12.5027
0.1%	1.22	5	1.02107	11.4817	12.5027
0.1%	1.23	5	1.02134	11.4814	12.5027
0.1%	1.24	5	1.02151	11.4812	12.5027
0.1%	1.25	5	1.02158	11.4812	12.5027
0.1%	1.26	5	1.02156	11.4812	12.5027
0.1%	1.27	5	1.02145	11.4813	12.5027
0.1%	1.28	5	1.02125	11.4815	12.5027
0.1%	1.29	5	1.02095	11.4818	12.5028
0.1%	1.3	5	1.02056	11.4822	12.5028
0.1%	1.31	5	1.02009	11.4827	12.5028
0.1%	1.32	5	1.01952	11.4833	12.5028
0.1%	1.33	5	1.01886	11.4839	12.5028
0.1%	1.34	5	1.01811	11.4847	12.5028
